"name","phone","website","email","email_status","address","latitude","longitude","rating","rating_count","category","search_term","search_type","search_location","url"
"AC Service Center","+91 99992 34197",,"","","F -28, Jawahar Park, Block G, Vishwakarma Park, Laxmi Nagar, Delhi, 110092, India",28.6379237,77.2729175,4.7,"57","Air conditioning repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/AC+Service+Center/data=!4m7!3m6!1s0x390cfd4c38c954cf:0x368c65b58e60a94e!8m2!3d28.6379237!4d77.2729175!16s%2Fg%2F11rjqc603n!19sChIJz1TJOEz9DDkRTqlgjrVljDY?authuser=0&hl=en&rclk=1"
"Ranjeet cool tech,(ac service &ac repair)","+91 70110 87143",,"","","Shyam Niwas, F262/263, behind Paliwal Dharamshala, Veer Savarkar Block, Block D, Laxmi Nagar, New Delhi, Delhi, 110092, India",28.6324936,77.2781275,4.7,"20","Refrigerator repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/Ranjeet+cool+tech,%28ac+service+%26ac+repair%29/data=!4m7!3m6!1s0x390cfd13f4d9476f:0xdaac2b72275f7c40!8m2!3d28.6324936!4d77.2781275!16s%2Fg%2F11x90472n_!19sChIJb0fZ9BP9DDkRQHxfJ3IrrNo?authuser=0&hl=en&rclk=1"
"True Cool Aircon , Best ac service repairing in noida.","+91 98113 28344",,"","","Shop No: A, block phool shing Market, A Block, sector 22, Sector 7, Noida, Uttar Pradesh 201301, India",28.5945899,77.3139328,4.9,"299","Air conditioning repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/True+Cool+Aircon+,+Best+ac+service+repairing+in+noida./data=!4m7!3m6!1s0x390ce5dd79c74cc1:0xb835b90125a5daa7!8m2!3d28.5945899!4d77.3139328!16s%2Fg%2F11vd893j92!19sChIJwUzHed3lDDkRp9qlJQG5Nbg?authuser=0&hl=en&rclk=1"
"Kaushambi Ac Repair And Service Center","+91 88105 83710",,"","","Pushp Vihar, Modipon Vihar, Sector 14, Kaushambi, Ghaziabad, Uttar Pradesh 201010, India",28.6377698,77.3252228,4.6,"12","Air conditioning repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/Kaushambi+Ac+Repair+And+Service+Center/data=!4m7!3m6!1s0x390cfbf0d5d33cf7:0x9bb862cd00b00995!8m2!3d28.6377698!4d77.3252228!16s%2Fg%2F11nb3gpjl5!19sChIJ9zzT1fD7DDkRlQmwAM1iuJs?authuser=0&hl=en&rclk=1"
"Baldev ac service","+91 95821 58201",,"","","Dallupura, New Delhi, Delhi 11096, Dallupura, New Delhi, Delhi 110096, India",28.6060758,77.3193435,5,"2","Air conditioning repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/Baldev+ac+service/data=!4m7!3m6!1s0x390ce52d5ec647c9:0x8106685100e6ffef!8m2!3d28.6060758!4d77.3193435!16s%2Fg%2F11tgf17yl0!19sChIJyUfGXi3lDDkR7__mAFFoBoE?authuser=0&hl=en&rclk=1"
"Capital Ac Repair","+91 95409 03786",,"","","317B, Gali no3, Rani Garden, Shastri Nagar, Geeta Colony, Delhi, 110031, India",28.6464301,77.2720222,5,"16","Air conditioning repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/Capital+Ac+Repair/data=!4m7!3m6!1s0x390cfd986fadce65:0xccc2c41b30b63c13!8m2!3d28.6464301!4d77.2720222!16s%2Fg%2F11pxmb18p_!19sChIJZc6tb5j9DDkREzy2MBvEwsw?authuser=0&hl=en&rclk=1"
"S.K. Car A/C","+91 92683 95174",,"","","F-42, opp. Gurudwara Road, Madhu Vihar, I.P.Extension, Patparganj, Delhi, 110092, India",28.637195,77.3027539,4.9,"106","Auto air conditioning service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/S.K.+Car+A%2FC/data=!4m7!3m6!1s0x390cfb4b0c014859:0xce9e4059e8ef484d!8m2!3d28.637195!4d77.3027539!16s%2Fg%2F11b7q2qgyr!19sChIJWUgBDEv7DDkRTUjv6FlAns4?authuser=0&hl=en&rclk=1"
"Delta Aircon","+91 93351 50227",,"","","shop no.2, D-95, West Vinod Nagar, Block D, Mandawali, Delhi, 110092, India",28.6245297,77.2971142,5,"27","Air conditioning repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/Delta+Aircon/data=!4m7!3m6!1s0x390ce5595e88d5cb:0xefcbcc2257c1a541!8m2!3d28.6245297!4d77.2971142!16s%2Fg%2F11tx4k5qwv!19sChIJy9WIXlnlDDkRQaXBVyLMy-8?authuser=0&hl=en&rclk=1"
"Unique Air Conditioning & Refrigerator","+91 98110 33052",,"","","220, Adarsh Mohalla, Awadhpuri, Patparganj, Mayur Vihar, Delhi, 110091, India",28.6113097,77.2910108,4.8,"140","Air conditioning repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/Unique+Air+Conditioning+%26+Refrigerator/data=!4m7!3m6!1s0x390ce5f6b94a29bf:0xd009d727b827d1f8!8m2!3d28.6113097!4d77.2910108!16s%2Fg%2F11v18wj5kb!19sChIJvylKufblDDkR-NEnuCfXCdA?authuser=0&hl=en&rclk=1"
"Swastik Aircon Authrisd Voltas & Hitachi Service Centre",,,"","","F 215B, near Bal Bhavan Public School Gate 3, Mangal Bazar, Block F, Laxmi Nagar, Delhi, 110092, India",28.6356761,77.2800066,3.7,"74","Air conditioning repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/Swastik+Aircon+Authrisd+Voltas+%26+Hitachi+Service+Centre/data=!4m7!3m6!1s0x390cfcac05fbd237:0xd58732fd24d31ce5!8m2!3d28.6356761!4d77.2800066!16s%2Fg%2F11f_d81ww9!19sChIJN9L7Baz8DDkR5RzTJP0yh9U?authuser=0&hl=en&rclk=1"
